0:0:0:0:0:0:0:1 - - [30/Dec/2017:16:32:05 +0100] "GET /ProgettoPW2017/Imm/Logo.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Dec/2017:16:32:05 +0100] "GET /ProgettoPW2017/Imm/carrello.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Dec/2017:16:32:05 +0100] "GET /ProgettoPW2017/Imm/Bye.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Dec/2017:16:32:05 +0100] "GET /ProgettoPW2017/Imm/bianco.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Dec/2017:16:32:12 +0100] "GET /ProgettoPW2017/HeaderLogged.jsp HTTP/1.1" 200 1507
0:0:0:0:0:0:0:1 - - [30/Dec/2017:16:32:12 +0100] "GET /ProgettoPW2017/CSS/Ammheaders.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Dec/2017:16:32:12 +0100] "GET /ProgettoPW2017/Imm/Logo.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Dec/2017:16:32:12 +0100] "GET /ProgettoPW2017/Imm/carrello.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Dec/2017:16:32:12 +0100] "GET /ProgettoPW2017/Imm/Bye.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Dec/2017:16:32:12 +0100] "GET /ProgettoPW2017/Imm/bianco.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Dec/2017:16:32:12 +0100] "GET /ProgettoPW2017/HeaderLogged.jsp HTTP/1.1" 200 1507
0:0:0:0:0:0:0:1 - - [30/Dec/2017:16:32:12 +0100] "GET /ProgettoPW2017/CSS/Ammheaders.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Dec/2017:16:32:12 +0100] "GET /ProgettoPW2017/Imm/Logo.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Dec/2017:16:32:12 +0100] "GET /ProgettoPW2017/Imm/carrello.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Dec/2017:16:32:12 +0100] "GET /ProgettoPW2017/Imm/Bye.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Dec/2017:16:32:12 +0100] "GET /ProgettoPW2017/Imm/bianco.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Dec/2017:16:32:12 +0100] "GET /ProgettoPW2017/HeaderLogged.jsp HTTP/1.1" 200 1507
0:0:0:0:0:0:0:1 - - [30/Dec/2017:16:32:12 +0100] "GET /ProgettoPW2017/CSS/Ammheaders.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Dec/2017:16:32:12 +0100] "GET /ProgettoPW2017/Imm/Logo.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Dec/2017:16:32:12 +0100] "GET /ProgettoPW2017/Imm/carrello.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Dec/2017:16:32:12 +0100] "GET /ProgettoPW2017/Imm/Bye.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Dec/2017:16:32:12 +0100] "GET /ProgettoPW2017/Imm/bianco.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Dec/2017:16:32:12 +0100] "GET /ProgettoPW2017/HeaderLogged.jsp HTTP/1.1" 200 1507
0:0:0:0:0:0:0:1 - - [30/Dec/2017:16:32:12 +0100] "GET /ProgettoPW2017/CSS/Ammheaders.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Dec/2017:16:32:12 +0100] "GET /ProgettoPW2017/Imm/Logo.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Dec/2017:16:32:12 +0100] "GET /ProgettoPW2017/Imm/carrello.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Dec/2017:16:32:12 +0100] "GET /ProgettoPW2017/Imm/Bye.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Dec/2017:16:32:12 +0100] "GET /ProgettoPW2017/Imm/bianco.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Dec/2017:16:32:12 +0100] "GET /ProgettoPW2017/HeaderLogged.jsp HTTP/1.1" 200 1507
0:0:0:0:0:0:0:1 - - [30/Dec/2017:16:32:12 +0100] "GET /ProgettoPW2017/CSS/Ammheaders.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Dec/2017:16:32:12 +0100] "GET /ProgettoPW2017/Imm/Logo.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Dec/2017:16:32:12 +0100] "GET /ProgettoPW2017/Imm/carrello.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Dec/2017:16:32:12 +0100] "GET /ProgettoPW2017/Imm/Bye.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Dec/2017:16:32:12 +0100] "GET /ProgettoPW2017/Imm/bianco.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Dec/2017:16:32:12 +0100] "GET /ProgettoPW2017/HeaderLogged.jsp HTTP/1.1" 200 1507
0:0:0:0:0:0:0:1 - - [30/Dec/2017:16:32:12 +0100] "GET /ProgettoPW2017/CSS/Ammheaders.css HTTP/1.1" 304 -
