0:0:0:0:0:0:0:1 - - [16/Jan/2018:12:46:53 +0100] "GET /ProgettoPW2017/Imm/EasyGreenBag.jpg HTTP/1.1" 200 191821
0:0:0:0:0:0:0:1 - - [16/Jan/2018:12:46:53 +0100] "GET /ProgettoPW2017/Imm/CarpisaEstateN.jpg HTTP/1.1" 200 55183
0:0:0:0:0:0:0:1 - - [16/Jan/2018:12:46:55 +0100] "GET /ProgettoPW2017/profile.jsp HTTP/1.1" 404 1057
0:0:0:0:0:0:0:1 - - [16/Jan/2018:12:53:18 +0100] "GET /ProgettoPW2017/profile.jsp HTTP/1.1" 404 1057
0:0:0:0:0:0:0:1 - - [16/Jan/2018:12:53:19 +0100] "GET /ProgettoPW2017/profile.jsp HTTP/1.1" 404 1057
0:0:0:0:0:0:0:1 - - [16/Jan/2018:12:53:20 +0100] "GET /ProgettoPW2017/bianco.jpg HTTP/1.1" 404 1055
0:0:0:0:0:0:0:1 - - [16/Jan/2018:12:53:22 +0100] "GET /ProgettoPW2017/profile.jsp HTTP/1.1" 404 1057
0:0:0:0:0:0:0:1 - - [16/Jan/2018:12:53:27 +0100] "GET /ProgettoPW2017/bianco.jpg HTTP/1.1" 404 1055
0:0:0:0:0:0:0:1 - - [16/Jan/2018:12:53:29 +0100] "POST /ProgettoPW2017/Controllo HTTP/1.1" 200 6106
0:0:0:0:0:0:0:1 - - [16/Jan/2018:12:53:29 +0100] "GET /ProgettoPW2017/CSS/benvenuto.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Jan/2018:12:53:30 +0100] "GET /ProgettoPW2017/cambio.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Jan/2018:12:53:30 +0100] "GET /ProgettoPW2017/addProdotto.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Jan/2018:12:53:30 +0100] "GET /ProgettoPW2017/clearTable.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Jan/2018:12:53:30 +0100] "GET /ProgettoPW2017/CSS/Ammheaders.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Jan/2018:12:53:30 +0100] "GET /ProgettoPW2017/Prodotto?art=Tutto&sesso=T&stringa=null HTTP/1.1" 200 1256
0:0:0:0:0:0:0:1 - - [16/Jan/2018:12:53:30 +0100] "GET /ProgettoPW2017/Imm/bianco.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Jan/2018:12:53:30 +0100] "GET /ProgettoPW2017/CSS/Aside.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Jan/2018:12:53:30 +0100] "GET /ProgettoPW2017/Imm/Logo.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Jan/2018:12:53:30 +0100] "GET /ProgettoPW2017/Imm/Bye.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Jan/2018:12:53:30 +0100] "GET /ProgettoPW2017/Imm/carrello.png HTTP/1.1" 304 -
